# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348800
# River:                 PO, FIUME
# Station:               PONTELAGOSCURO
# Country:               --
# Latitude (DD):       44.883335
# Longitude (DD):      11.6
# Catchment area (km²):      
# Altitude (m ASL):        8.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1918 - 1998
# No. of years:          81
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 963
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1945-09-01;--:--;    762.000;   -999.000;   0
1945-10-01;--:--;    517.000;   -999.000;   0
1945-11-01;--:--;   2510.000;   -999.000;   0
1945-12-01;--:--;   1390.000;   -999.000;   0
1946-01-01;--:--;    996.000;   -999.000;   0
1946-02-01;--:--;   1070.000;   -999.000;   0
1946-03-01;--:--;   2480.000;   -999.000;   0
1946-04-01;--:--;   1350.000;   -999.000;   0
1946-05-01;--:--;   2770.000;   -999.000;   0
1946-06-01;--:--;   2750.000;   -999.000;   0
1946-07-01;--:--;   1650.000;   -999.000;   0
1946-08-01;--:--;    984.000;   -999.000;   0
1946-09-01;--:--;   1590.000;   -999.000;   0
1946-10-01;--:--;    806.000;   -999.000;   0
1946-11-01;--:--;    856.000;   -999.000;   0
1946-12-01;--:--;    821.000;   -999.000;   0
1947-01-01;--:--;    648.000;   -999.000;   0
1947-02-01;--:--;   1040.000;   -999.000;   0
1947-03-01;--:--;   1960.000;   -999.000;   0
1947-04-01;--:--;   1800.000;   -999.000;   0
1947-05-01;--:--;   1670.000;   -999.000;   0
1947-06-01;--:--;   1050.000;   -999.000;   0
1947-07-01;--:--;    740.000;   -999.000;   0
1947-08-01;--:--;    616.000;   -999.000;   0
1947-09-01;--:--;   1000.000;   -999.000;   0
1947-10-01;--:--;   1880.000;   -999.000;   0
1947-11-01;--:--;   1490.000;   -999.000;   0
1947-12-01;--:--;   1630.000;   -999.000;   0
1948-01-01;--:--;   1620.000;   -999.000;   0
1948-02-01;--:--;   1730.000;   -999.000;   0
1948-03-01;--:--;   1070.000;   -999.000;   0
1948-04-01;--:--;   1350.000;   -999.000;   0
1948-05-01;--:--;   3820.000;   -999.000;   0
1948-06-01;--:--;   2000.000;   -999.000;   0
1948-07-01;--:--;    847.000;   -999.000;   0
1948-08-01;--:--;   1140.000;   -999.000;   0
1948-09-01;--:--;   2290.000;   -999.000;   0
1948-10-01;--:--;   1230.000;   -999.000;   0
1948-11-01;--:--;   1320.000;   -999.000;   0
1948-12-01;--:--;    874.000;   -999.000;   0
1949-01-01;--:--;   1150.000;   -999.000;   0
1949-02-01;--:--;    708.000;   -999.000;   0
1949-03-01;--:--;    786.000;   -999.000;   0
1949-04-01;--:--;    487.000;   -999.000;   0
1949-05-01;--:--;   2600.000;   -999.000;   0
1949-06-01;--:--;   1350.000;   -999.000;   0
1949-07-01;--:--;    606.000;   -999.000;   0
1949-08-01;--:--;    333.000;   -999.000;   0
1949-09-01;--:--;    551.000;   -999.000;   0
1949-10-01;--:--;    647.000;   -999.000;   0
1949-11-01;--:--;   1330.000;   -999.000;   0
1949-12-01;--:--;   1030.000;   -999.000;   0
1950-01-01;--:--;    776.000;   -999.000;   0
1950-02-01;--:--;   1160.000;   -999.000;   0
1950-03-01;--:--;   1200.000;   -999.000;   0
1950-04-01;--:--;   1410.000;   -999.000;   0
1950-05-01;--:--;   1620.000;   -999.000;   0
1950-06-01;--:--;   1230.000;   -999.000;   0
1950-07-01;--:--;    485.000;   -999.000;   0
1950-08-01;--:--;    537.000;   -999.000;   0
1950-09-01;--:--;    785.000;   -999.000;   0
1950-10-01;--:--;    834.000;   -999.000;   0
1950-11-01;--:--;    934.000;   -999.000;   0
1950-12-01;--:--;   1300.000;   -999.000;   0
1951-01-01;--:--;   1690.000;   -999.000;   0
1951-02-01;--:--;   3140.000;   -999.000;   0
1951-03-01;--:--;   2390.000;   -999.000;   0
1951-04-01;--:--;   1630.000;   -999.000;   0
1951-05-01;--:--;   2710.000;   -999.000;   0
1951-06-01;--:--;   3460.000;   -999.000;   0
1951-07-01;--:--;   2340.000;   -999.000;   0
1951-08-01;--:--;   1760.000;   -999.000;   0
1951-09-01;--:--;   1150.000;   -999.000;   0
1951-10-01;--:--;   1450.000;   -999.000;   0
1951-11-01;--:--;   3220.000;   -999.000;   0
1951-12-01;--:--;   1590.000;   -999.000;   0
1952-01-01;--:--;   1050.000;   -999.000;   0
1952-02-01;--:--;    972.000;   -999.000;   0
1952-03-01;--:--;    807.000;   -999.000;   0
1952-04-01;--:--;   1190.000;   -999.000;   0
1952-05-01;--:--;   2240.000;   -999.000;   0
1952-06-01;--:--;   1080.000;   -999.000;   0
1952-07-01;--:--;    612.000;   -999.000;   0
1952-08-01;--:--;    718.000;   -999.000;   0
1952-09-01;--:--;   1100.000;   -999.000;   0
1952-10-01;--:--;   1370.000;   -999.000;   0
1952-11-01;--:--;   1160.000;   -999.000;   0
1952-12-01;--:--;    985.000;   -999.000;   0
1953-01-01;--:--;    882.000;   -999.000;   0
1953-02-01;--:--;    765.000;   -999.000;   0
1953-03-01;--:--;    786.000;   -999.000;   0
1953-04-01;--:--;    858.000;   -999.000;   0
1953-05-01;--:--;    714.000;   -999.000;   0
