# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2021-06-29
#
# GRDC-No.:              6348400
# River:                 PO, FIUME
# Station:               PIACENZA
# Country:               --
# Latitude (DD):       45.016666
# Longitude (DD):      9.666667
# Catchment area (km²):      
# Altitude (m ASL):        42.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1924 - 1985
# No. of years:          62
# Last update:           2018-05-24
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 744
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1937-12-01;--:--;    764.000;   -999.000;   0
1938-01-01;--:--;    512.000;   -999.000;   0
1938-02-01;--:--;    458.000;   -999.000;   0
1938-03-01;--:--;    467.000;   -999.000;   0
1938-04-01;--:--;    230.000;   -999.000;   0
1938-05-01;--:--;    460.000;   -999.000;   0
1938-06-01;--:--;   1110.000;   -999.000;   0
1938-07-01;--:--;    702.000;   -999.000;   0
1938-08-01;--:--;    482.000;   -999.000;   0
1938-09-01;--:--;   1240.000;   -999.000;   0
1938-10-01;--:--;   1260.000;   -999.000;   0
1938-11-01;--:--;    687.000;   -999.000;   0
1938-12-01;--:--;    853.000;   -999.000;   0
1939-01-01;--:--;    996.000;   -999.000;   0
1939-02-01;--:--;    806.000;   -999.000;   0
1939-03-01;--:--;    673.000;   -999.000;   0
1939-04-01;--:--;    703.000;   -999.000;   0
1939-05-01;--:--;   1730.000;   -999.000;   0
1939-06-01;--:--;   1440.000;   -999.000;   0
1939-07-01;--:--;   1110.000;   -999.000;   0
1939-08-01;--:--;   1260.000;   -999.000;   0
1939-09-01;--:--;   1090.000;   -999.000;   0
1939-10-01;--:--;    879.000;   -999.000;   0
1939-11-01;--:--;    911.000;   -999.000;   0
1939-12-01;--:--;    645.000;   -999.000;   0
1940-01-01;--:--;    502.000;   -999.000;   0
1940-02-01;--:--;    555.000;   -999.000;   0
1940-03-01;--:--;    540.000;   -999.000;   0
1940-04-01;--:--;    429.000;   -999.000;   0
1940-05-01;--:--;   1480.000;   -999.000;   0
1940-06-01;--:--;   1790.000;   -999.000;   0
1940-07-01;--:--;   1740.000;   -999.000;   0
1940-08-01;--:--;    604.000;   -999.000;   0
1940-09-01;--:--;    533.000;   -999.000;   0
1940-10-01;--:--;   1260.000;   -999.000;   0
1940-11-01;--:--;   1090.000;   -999.000;   0
1940-12-01;--:--;    608.000;   -999.000;   0
1941-01-01;--:--;    714.000;   -999.000;   0
1941-02-01;--:--;   1210.000;   -999.000;   0
1941-03-01;--:--;   1180.000;   -999.000;   0
1941-04-01;--:--;   2100.000;   -999.000;   0
1941-05-01;--:--;   1930.000;   -999.000;   0
1941-06-01;--:--;   2800.000;   -999.000;   0
1941-07-01;--:--;   1430.000;   -999.000;   0
1941-08-01;--:--;    653.000;   -999.000;   0
1941-09-01;--:--;    511.000;   -999.000;   0
1941-10-01;--:--;   1290.000;   -999.000;   0
1941-11-01;--:--;   1160.000;   -999.000;   0
1941-12-01;--:--;    597.000;   -999.000;   0
1942-01-01;--:--;    446.000;   -999.000;   0
1942-02-01;--:--;    431.000;   -999.000;   0
1942-03-01;--:--;    904.000;   -999.000;   0
1942-04-01;--:--;    630.000;   -999.000;   0
